t,N,P,within4_proxy,u,a,g,anchor,p_agree,burden,q,e,integrated_equilibrium,cond_penalty
79,201.85442311036633,1.0185442311036632,0.0,0.0,0.0,793.4501729876388,1.0,0.46752795031055894,1.3254179394396313,1.06111265386622,0.765278163466555,1,1.0
80,190.49100378281705,0.9049100378281705,0.0,0.0,0.0,753.8254844180872,1.0,0.46752795031055894,1.3197930468724943,1.0542946022696902,0.7635736505674225,1,1.0
81,185.11632261601218,0.8511632261601219,0.0,0.0,0.0,798.737911290211,1.0,0.46752795031055894,1.317132579694926,1.0510697935696074,0.7627674483924018,1,1.0
82,193.7363134893444,0.9373631348934441,0.0,0.0,0.0,722.7977349255036,1.0,0.46752795031055894,1.3213994751772253,1.0562417880936066,0.7640604470234016,1,1.0
83,196.36484900946502,0.9636484900946503,0.0,0.0,0.0,691.9328032838957,1.0,0.46752795031055894,1.3227006002596853,1.057818909405679,0.7644547273514197,1,1.0
84,202.9959896548649,1.029959896548649,0.0,0.0,0.0,665.3724532272837,1.0,0.46752795031055894,1.3259830148791583,1.061797593792919,0.7654493984482298,1,1.0
85,207.63370147907037,1.0763370147907039,0.0,0.0,0.0,562.713998022923,1.0,0.46752795031055894,1.3282786822321397,1.0645802208874422,0.7661450552218605,1,1.0
86,209.27600830975754,1.0927600830975752,0.0,0.0,0.0,648.8684464968966,1.0,0.46752795031055894,1.32909162411333,1.0655656049858546,0.7663914012464637,1,1.0
87,210.91994217271414,1.1091994217271415,0.0,0.0,0.0,622.154523177245,1.0,0.46752795031055894,1.3299053713754936,1.0665519653036284,0.7666379913259072,1,1.0
88,204.56550460036294,1.0456550460036294,0.0,0.0,0.0,648.9730304145647,1.0,0.46752795031055894,1.3267599247771795,1.0627393027602177,0.7656848256900544,1,1.0
89,204.20477155783644,1.0420477155783643,0.0,0.0,0.0,717.2530902222427,1.0,0.46752795031055894,1.326581361921129,1.0625228629347019,0.7656307157336755,1,1.0
90,190.84368109412895,0.9084368109412895,0.0,0.0,0.0,768.4555897807885,1.0,0.46752795031055894,1.319967622141594,1.0545062086564774,0.7636265521641193,1,1.0
91,191.46934950912998,0.9146934950912999,0.0,0.0,0.0,831.3029827219095,1.0,0.46752795031055894,1.3202773280070195,1.054881609705478,0.7637204024263695,1,1.0
92,183.09563809194373,0.8309563809194374,0.0,0.0,0.0,805.1938377265853,1.0,0.46752795031055894,1.3161323408555123,1.0498573828551663,0.7624643457137916,1,1.0
93,186.71362562626672,0.8671362562626672,0.0,0.0,0.0,751.8252389768529,1.0,0.46752795031055894,1.317923244685002,1.05202817537576,0.76300704384394,1,1.0
94,192.33520000631304,0.9233520000631303,0.0,0.0,0.0,743.4883700908425,1.0,0.46752795031055894,1.320705924003125,1.0554011200037878,0.763850280000947,1,1.0
95,193.96234680843716,0.9396234680843716,0.0,0.0,0.0,576.057252676871,1.0,0.46752795031055894,1.3215113616701764,1.0563774080850623,0.7640943520212655,1,1.0
96,194.5911063567733,0.945911063567733,0.0,0.0,0.0,466.1345548991881,1.0,0.46752795031055894,1.3218225976466027,1.056754663814064,0.764188665953516,1,1.0
97,196.22048907912722,0.9622048907912721,0.0,0.0,0.0,390.63768268391027,1.0,0.46752795031055894,1.322629142094168,1.0577322934474762,0.764433073361869,1,1.0
98,204.85148665557188,1.0485148665557187,0.0,0.0,0.0,362.78546338698004,1.0,0.46752795031055894,1.326901485894508,1.0629108919933432,0.7657277229983358,1,1.0
99,206.49103696680066,1.0649103696680067,0.0,0.0,0.0,480.2057933819277,1.0,0.46752795031055894,1.3277130632985663,1.0638946221800805,0.7659736555450201,1,1.0
