t,x,g,c,u,r,a,ed_proxy
61,0.02029046159790155,0.032535711067329984,0.484742220024702,0.0,0.0,0.0,0.5643046867666432
62,0.0380679754844746,0.051548993858706954,0.4724581535623314,0.0,0.0,0.0,0.5375735573560854
63,0.05371788979996359,0.07140648908041361,0.45992520190554875,0.0,0.5,0.0,0.5137837345658833
64,0.10255410852049655,0.031445614597930424,0.44717315144834924,0.0,0.5,3.75,0.4435002207885572
65,0.0,0.010398390015222119,0.4843623939290623,0.0,0.0,0.0,0.5926543590893594
66,0.02019756941028922,0.028526679812482136,0.47236239392906226,0.0,0.0,0.0,0.5625777619149545
67,0.03791191660928589,0.04823929410470476,0.4600796279573182,0.0,0.0,0.0,0.5359352609405975
68,0.05352079487197525,0.06865508115208652,0.4475488611247882,0.0,0.5,0.0,0.512203216347953
69,0.032332330131788364,0.029142157313985003,0.43479956999658054,0.0,0.0,0.0,0.5399546733149835
70,0.0483595049023037,0.05165632822909691,0.4223469173747355,0.0,0.0,0.0,0.5156487307429851
71,0.027570644452334023,0.07396447032441235,0.40966988430610324,0.0,0.5,0.0,0.5428515804126479
72,0.045116079165171095,0.02726782033457829,0.39728389528377056,0.0,0.0,0.0,0.5164300734613261
73,0.09431791666840414,0.05318747167399526,0.38465227017545817,0.0,0.5,3.75,0.445652757190553
74,0.0,0.02625002677309311,0.4219568193421005,0.0,0.0,0.0,0.5832935229013151
75,0.0,0.04152502195393635,0.4099568193421005,0.0,0.0,0.0,0.5814935229013152
76,0.02078897541712479,0.05405051800222781,0.3979568193421005,0.0,0.0,0.0,0.5505889573173405
77,0.03890547870076965,0.06931077886193675,0.3856657736862607,0.0,0.5,0.0,0.5233821958718616
78,0.054775616481038694,0.026172153554972846,0.37312109698444995,0.0,0.0,0.0,0.4992823014742134
79,0.06760430109123776,0.054607313870527016,0.3603542383537154,0.0,0.0,0.0,0.4794071142253245
80,0.11417723790200449,0.08100302963572921,0.34740777813843804,0.0,0.0,3.75,0.4122630336579594
81,0.007231482158802732,0.11382502139777903,0.38443429680780994,0.0,0.5,0.0,0.5675410694988478
82,0.028381750063128153,0.05507207326429146,0.3723330560575867,0.0,0.0,0.0,0.5361155083202587
83,0.08045467444631174,0.07197072009186976,0.3599357115567029,0.0,0.5,0.0,0.46135381250866897
84,0.055558463705573616,0.03832511234244802,0.3468093461144545,0.0,0.0,0.0,0.49423955272936515
85,0.03350845592129981,0.06476062341014505,0.3340315276225765,0.0,0.5,0.0,0.5231928908535668
86,0.015047723937110583,0.02114574061743089,0.32156240923967827,0.0,0.0,0.0,0.5471675478739969
87,0.033342811657646285,0.04095096105119987,0.3093517411045587,0.0,0.0,0.0,0.5197228248449791
88,0.0494528862855486,0.061582062859819,0.29688494174135166,0.0,0.0,0.0,0.49529870046143476
89,0.02869954139990835,0.08236598425358324,0.284192601333354,0.0,0.5,0.0,0.5224495322401315
90,0.04624655930473927,0.03442799702391626,0.2717908077537553,0.0,0.0,0.0,0.49602343813642835
91,0.02542617294553018,0.05933013179274875,0.25914335592348897,0.0,0.0,0.0,0.5232748612647812
92,0.04299378123721818,0.07475298957698122,0.24678738950225154,0.0,0.5,0.0,0.49682681469323237
93,0.058394958665970276,0.03161595895005696,0.2341854765649305,0.0,0.0,0.0,0.4733748793523812
94,0.07082036767278552,0.05993987641887957,0.2213679471436069,0.0,0.0,0.0,0.4540566773296414
95,0.08204437385055426,0.08614758690494978,0.20837646199618792,0.0,0.5,0.0,0.4363943459086523
96,0.09219496566267071,0.050331670986191845,0.19522784076228017,0.0,0.5,3.75,0.42021122418660306
97,0.0,0.02339876196771828,0.23256211124300274,0.0,0.0,0.0,0.5548843166864504
98,0.0,0.03918698481352899,0.22056211124300273,0.0,0.0,0.0,0.5530843166864504
99,0.0,0.052133327547093766,0.20856211124300272,0.0,0.0,0.0,0.5512843166864505
100,0.055990533223394784,0.06274932858861688,0.1965621112430027,0.0,0.5,0.0,0.4710975701736978
101,0.10434409581530324,0.02489217741628059,0.1837782437778752,0.0,0.5,3.75,0.40148500242525675
102,0.0,0.0054541684770228645,0.22094242643646095,0.0,0.0,0.0,0.5531413639654692
103,0.020103629201063435,0.024472418151158748,0.20894242643646094,0.0,0.0,0.0,0.5231962830839804
104,0.07275409705778657,0.0448922538922054,0.19666097562764606,0.0,0.0,0.0,0.44764341046324574
105,0.11842147629364835,0.0742726314854772,0.18364241826883704,0.0,0.0,3.75,0.38175629592921784
106,0.010753649610761654,0.10932471212856691,0.22060951760072595,0.0,0.5,0.0,0.5380363181850427
107,0.031325308195697794,0.052227139852007665,0.2084589665061753,0.0,0.0,0.0,0.5074134135019495
108,0.04793208070548825,0.07034432864561375,0.1960204121914355,0.0,0.5,0.0,0.4822981488410317
109,0.027558131650986556,0.02918604885872046,0.1833493630615587,0.0,0.0,0.0,0.5089210201478527
110,0.07925452814816412,0.05054651166038755,0.17096354921844487,0.0,0.0,0.0,0.434688192975337
111,0.08911927792896851,0.08046922631707719,0.15785398582437057,0.0,0.5,0.0,0.41891110877309967
112,0.06317149431893737,0.04737339228295574,0.144606315933365,0.0,0.0,0.0,0.4532508553434924
113,0.0752275795676623,0.07400734030856868,0.1317219150128999,0.0,0.5,0.0,0.43443967585720783
114,0.08610185789405238,0.038740638149265275,0.11866872889895262,0.0,0.0,0.0,0.41725770828316955
115,0.05978366991372108,0.0724317691769701,0.10546330288843589,0.0,0.5,0.0,0.45212235755405594
116,0.10779015974016257,0.03374213150440854,0.09262633150964379,0.0,0.5,3.75,0.382987726090219
117,0.03584063787512359,0.013538186171254015,0.1297422692732815,0.0,0.0,0.0,0.4892844473658192
118,0.05108017410986011,0.039703065750457955,0.11724050034302977,0.0,0.0,0.0,0.46607383129765034
119,0.06468330798373839,0.06481575570174195,0.10452537790549173,0.0,0.5,0.0,0.44512217550859
120,0.07685914422434811,0.02867291359152561,0.09161981159371939,0.0,0.0,0.0,0.4261401698249706
121,0.08664364939117837,0.06195798375889455,0.07854378357457852,0.0,0.0,0.0,0.41048045838853714
122,0.0956907401678324,0.09160002253617634,0.06533077248310201,0.0,0.0,3.75,0.39583257963750007
123,0.0,0.11807779611994439,0.10261610212075235,0.0,0.5,0.0,0.5353924153181129
124,0.022243478126278943,0.056823792818354396,0.09061610212075236,0.0,0.0,0.0,0.5024515459413224
125,0.005209043252148618,0.07193394486135754,0.07830469342698446,0.0,0.5,0.0,0.5244530434610397
126,0.025846522149213604,0.020236005166828854,0.06623176682145437,0.0,0.0,0.0,0.49374963401431915
127,0.042612493146493444,0.04279668955261093,0.053869915511365385,0.0,0.0,0.0,0.46842299692161404
128,0.02245988120748397,0.06532028378829938,0.041273340607314475,0.0,0.5,0.0,0.49474716740061964
129,0.0055565832304139,0.018953004196201644,0.0289589022704097,0.0,0.0,0.0,0.516564618817982
130,0.025138768657883784,0.03687504341618468,0.016881110105183905,0.0,0.0,0.0,0.4873378903947403
131,0.007319966870687561,0.05627084007916354,0.004529167343973531,0.0,0.0,0.0,0.5104314214826335
132,0.062364317470295416,0.0678988809138791,0.0,0.0,0.5,0.0,0.4326899555415864
133,0.07492339176181777,0.030644518542251763,0.0,0.0,0.0,0.0,0.4151072515334552
134,0.08501636276746606,0.0631101192274827,0.0,0.0,0.5,0.0,0.40097709212554755
135,0.09431316424534299,0.032154224830727676,0.0,0.0,0.5,3.75,0.3879615700565199
136,0.0,0.009001623780079012,0.03730461570056519,0.0,0.0,0.0,0.5255956923550849
137,0.05517103085182151,0.02738133149966479,0.025304615700565188,0.0,0.0,0.0,0.44655624916253467
138,0.06796733183106013,0.05569373923416229,0.012532221268639687,0.0,0.0,0.0,0.4267255686268118
139,0.1145100864201608,0.08198102581146752,0.0,0.0,0.0,3.75,0.35968587901177485
140,0.0,0.11470686190624195,0.03702185879011774,0.0,0.5,0.0,0.5255532788185178
141,0.022179430376218598,0.0540596267631184,0.02502185879011774,0.0,0.0,0.0,0.49270207629181173
142,0.04010144303204725,0.06965195723604956,0.01271134676485068,0.0,0.5,0.0,0.4657646817698615
143,0.09081062819504558,0.026738951261251972,0.0001499265624020172,0.0,0.5,3.75,0.39288760951129653
144,0.0,0.003720490801037559,0.03750357776767137,0.0,0.0,0.0,0.5256255366651508
145,0.020070689325219715,0.0230508024568508,0.025503577767671367,0.0,0.0,0.0,0.4957265716098431
146,0.03769875806636912,0.043718623452670385,0.013222588117118291,0.0,0.0,0.0,0.46920512692465105
147,0.05325158578267818,0.0648969731671183,0.0006948055041891225,0.0,0.5,0.0,0.44555200072987894
148,0.06702940626327848,0.02599589858487977,0.0,0.0,0.0,0.0,0.4261588312314101
149,0.0781392114595322,0.05740369434278825,0.0,0.0,0.0,0.0,0.41060510395665495
150,0.05329039204771066,0.08582444011137409,0.0,0.0,0.5,0.0,0.44539345113320505
151,0.10246040152314728,0.043165734982777315,0.0,0.0,0.5,3.75,0.3765554378675938
152,0.03143609427457944,0.019986399051432745,0.037190554378675925,0.0,0.0,0.0,0.4815680511723902
153,0.012414782658115533,0.04393350984807391,0.02475044905883181,0.0,0.0,0.0,0.5063318716374632
154,0.03151144977309276,0.05900502591336834,0.012576642101618194,0.0,0.0,0.0,0.4777704666329129
