t,x,g,c,u,r,a,ed_proxy
81,0.0,0.059696601943857855,0.8294839173530121,0.0,0.0,0.0,0.6444225876029519
82,0.01876560891992998,0.06895121359396345,0.818683917353012,0.0,0.5,0.0,0.6165307351150499
83,0.07002272298548237,0.005593366673754898,0.807621198828133,0.0,0.0,0.0,0.5431113676445446
84,0.04329127669510574,0.03971146883734321,0.7958408807063362,0.0,0.0,0.0,0.5787683447328024
85,0.020739797545629865,0.06191432021276427,0.7844348028326047,0.0,0.0,0.0,0.6086295038610089
86,0.0016302770459703866,0.07524953884432276,0.7733444456669659,0.0,0.5,0.0,0.6337192789856864
87,0.020367113595212975,0.007056761694274261,0.7625216217883223,0.0,0.0,0.0,0.6058642842349503
88,0.035606220660612226,0.0301858411258709,0.7514364821979893,0.0,0.0,0.0,0.5828667634048412
89,0.0140084831805658,0.05244333338590637,0.7401379951087408,0.0,0.0,0.0,0.611408822813519
90,0.030719881285960843,0.06602936574344544,0.7291418763442129,0.0,0.5,0.0,0.5863634476512868
91,0.010265924521586013,0.0057795742673928015,0.7179117980062094,0.0,0.0,0.0,0.6133144753707109
92,0.02690281812854329,0.026956690595924676,0.7069680750629072,0.0,0.0,0.0,0.5883812658794755
93,0.04148214314743996,0.04791549500442358,0.6957914356091075,0.0,0.0,0.0,0.5662937149349502
94,0.0542891593302301,0.06825084882347436,0.6844106856050434,0.0,0.5,0.0,0.5466567797784344
95,0.06556399416015894,0.01269215445057868,0.6728506373744202,0.0,0.0,0.0,0.5291380037819405
96,0.07454781185856536,0.04456938938806884,0.661132741456178,0.0,0.0,0.0,0.5148029746164352
97,0.0826827206172682,0.07264922665966657,0.6492890720901581,0.0,0.5,0.0,0.5016375519493483
98,0.05503886606276087,0.022431833514256507,0.6373315140015163,0.0,0.0,0.0,0.5385453146123622
99,0.030621113078794684,0.05028249855124668,0.6257609698766377,0.0,0.0,0.0,0.5709945871711831
100,0.07997903029168317,0.06784580923704193,0.6145322742935345,0.0,0.5,0.0,0.5002091987356738
101,0.12265208855431259,0.017909034117377955,0.6026125678694509,0.0,0.0,3.75,0.43867896120438005
102,0.0,0.06117825910398145,0.6812204386296906,0.0,0.0,0.0,0.6221830657944536
103,0.018784611173008565,0.07016617246526478,0.6704204386296906,0.0,0.5,0.0,0.5942646101522416
104,0.0700546467706544,0.0065937374348869725,0.6593574540732685,0.0,0.0,0.0,0.520827112632074
105,0.11333156090536521,0.04053866839906867,0.6475766890184793,0.0,0.0,3.75,0.45847231808526057
106,0.0,0.0777213252427952,0.7263150471658042,0.0,0.5,0.0,0.6289472570748706
107,0.018996775996238852,0.008731486699092055,0.7155150471658042,0.0,0.0,0.0,0.6007317706801363
108,0.03444920867368127,0.03126312270844307,0.7044490923018568,0.0,0.0,0.0,0.5774384717021248
109,0.01302726900810168,0.05307678969443848,0.6931668033804252,0.0,0.0,0.0,0.6057368438957216
110,0.06488416117479862,0.06633685765518951,0.6821844216143118,0.0,0.5,0.0,0.5314898375974287
111,0.07465114880975461,0.0134112020910119,0.6704760433578646,0.0,0.0,0.0,0.5160597981700232
112,0.04737198664320619,0.04712183385753675,0.658630927274528,0.0,0.0,0.0,0.5524738577906906
113,0.059344246032380234,0.06887225287811267,0.6471677194615231,0.0,0.5,0.0,0.5339932134738962
114,0.06991933823100879,0.014293604503046519,0.6355369000170698,0.0,0.0,0.0,0.5174434614791482
