scenario,year,pressure_mean,occupancy_mean,offload_mean,within4_mean,rr_mean,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,nep_mean,cost_mean,effgap_micro_mean,effgap_macro_mean
nep_realism,2025,1.0,0.92,22.0,0.53,1.0700224013769628,0.41,0.39040199999999997,0.05019953791220333,1.05,1.0,1.0,0.0,0.05019953791220333
nep_realism,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0619169605506407,0.42,0.3960785769230768,0.060395649930768514,0.945,1.03,1.04,0.0,0.060395649930768514
nep_realism,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0783041018599975,0.4275,0.39922108085701,0.07083525807753574,0.8504999999999999,1.0609,1.0817459771053826,0.0,0.07083525807753574
nep_realism,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.0968256409225088,0.433125,0.4004906826461154,0.08148595664897812,0.76545,1.092727,1.1252803512945022,0.0,0.08148595664897812
nep_realism,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.1137813675125847,0.43734375,0.400360866973792,0.09237426735696276,0.75,1.1255088100000001,1.17070786773698,0.0,0.09237426735696276
nep_realism,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.1348036516929603,0.4405078125,0.3992019335271222,0.10347210731152552,0.75,1.1592740743,1.21807957396605,0.0,0.10347210731152552
nep_growth,2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
nep_growth,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0669444692389514,0.42,0.394128,0.06564364876385342,0.945,1.04,1.04,0.0,0.06564364876385342
nep_growth,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0734164618584745,0.4275,0.4011118729071442,0.06578747233561366,0.8504999999999999,1.0816000000000001,1.0817459771053826,0.0,0.06578747233561366
nep_growth,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.0816818163923276,0.433125,0.4062941624266723,0.06603808054639858,0.76545,1.124864,1.1252803512945022,0.0,0.06603808054639858
nep_growth,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.088063277295553,0.43734375,0.41010579051418317,0.06641729732847867,0.75,1.1698585600000002,1.17070786773698,0.0,0.06641729732847867
nep_growth,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.0980521720023122,0.4405078125,0.4128887321853705,0.06689324385398454,0.75,1.2166529024000003,1.21807957396605,0.0,0.06689324385398454
wage_compact,2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
